Text,Sentiment,Score
"Ten Hag: ""Mourinho ve ben son yıllarda birçok kupa kazandık ama her yıl kendinizi kanıtlamak zorundasınız, bunu yapmazsanız eleştirilirsiniz, bunu biliyoruz. Maç kazanamadığınız zaman eleştiri geliyor"".",1 star,0.309806227684021
"Mourinho’yu gönderecek para nerede gardaşım 

Ali zaten cebinden verdikleri yetti ",1 star,0.40063750743865967
Telefonu kaldırıp atalım,1 star,0.46853378415107727
"Zulme DUR DE

Birlik olup mücadele etmek şart

kürdistan rehine mossad amed interneti dhkpc uzay sanayii aş ankara'ya bengisu istihbarat amed erişim özel harekat barış alper yılmaz kaan ayhan içerden jose mourinho şehitlerimize Allah'tan",1 star,0.30094113945961
"Febenin klasikleşmiş ağlama olayları. Awk koskoca Mourinho yu da kendinizeebenzettiniz. Adam geldiğinden beri takıma konsantre olamıyor belliki, sürekli GS düşmanlığı pompalayan yoneticilerinizin eseri bu daha beter olmaaniz dileğiyle",1 star,0.288493812084198
"İzin verilsin barışı sağlayabilir

rehine ankara'ya bengisu istihbarat amed erişim özel harekat mossad amed interneti dhkpc uzay sanayii aş jose mourinho kürdistan  barış alper yılmaz kaan ayhan içerden chpkk devletimizin yanındayız",1 star,0.479472815990448
"#sonsayfa
Bruno Fernandes yokken Fb, Man.Utd'ı yenmeyecek de ne zaman yenecek? Mourinho'nun Samsunda puan bırakmasının sebebi bence bu maça çok daha fazla odaklanmış olması. Bir Gsli olarak Fb'ye ülke puanı açısından başarılar diliyorum.",1 star,0.4478987157344818
Banada öyle geliyor ama yenmesin berabere bitsin Mourinho gider yoksa ,1 star,0.3095598518848419
"BELGESEL | Teröristbaşı Abdullah Öcalan ve PKK yönetimi Kürt değildir!

İşte az bilinen gerçekler...",1 star,0.4638798236846924
En büyük fıkra Mourinho fb'nin maç öncesi basın toplantısında İngiliz kulüpleriyle flört etmesi ve Porto'nun fb'den daha büyük olduğunu itiraf etmesi,1 star,0.6591137051582336
Mourinho İngiltere'ye geri dönmek istiyormuş.,1 star,0.4796724021434784
"Jose Mourinho futbolda hakem ve yayıncı adaletiyle yüzleşiyor..
@beINSPORTS
 
@beINSPORTSNews
 
@beINSPORTS_EN
 
@beINSPORTSUSA
 
@beinsports_FR",1 star,0.3123161196708679
"Şu amk takımında 3 gol yediler. Bu adam bu ülkede kahraman hoca  Mourinho işi bilmez neyse çok yordu burası, yönetimde sığınaklara indi herhalde hocaya destek vs yok. Sayın Ali Koç siz kriz yönetemeyen bir yöneticisiniz. Ve asla Lider olamayacaksınız. Üzücü",1 star,0.6618738770484924
Suan ki kadroda sorun yok bence. Bu takimin basina herhangi bi adami getirseydi yeterdi. Populistlik ugruna mourinho alindi,1 star,0.4515373706817627
"Jose Mourinho: ""Harika sandığınız bazı oyuncular harika değiller. Bazen takım için kritik hatalar yapıyorlar.""

Mourinho aynı zamanda dev bir scout, oyuncuları nasıl değerlendirdiği fenerbahçeli oyuncuları izleyen diğer takımlar için bir veri. 

Mourinho kötü rapor veriyor bu",1 star,0.4702674448490143
"neden etik değil mesela?
jose osimheni arayıp imzalı formasını istese etik olmayacak mı?
Bu talebi Mourinho’ya çok mu görüyorsun?",1 star,0.3913847506046295
" Erik ten Hag: ""Bazı sakat futbolcularımız var fakat elimizdeki oyuncular yeterli. Elimizden gelenin en iyisini yapacağız.""

 ""Jose Mourinho önderliğinde 35 bin ateşli taraftarın karşısında böyle bir teste hazır mısınız?""

 Erik ten Hag: ""Bizim oyuncularımız bu konuda",1 star,0.33374613523483276
O zaman beyin ölümü gerçekleşmiş Mourinho'nun,1 star,0.2748981714248657
Nasıl bir emir aldilarsa aq hepsi Mourinho götü kolluyor bugün. Aferin bu kafada devam edin bu sezon 2. De olamicaniz aq,1 star,0.34968698024749756
"Bruno Genesio; sezona Jose Mourinho ile başladı, Carlo Ancelotti, Diego Simeone diye devam ediyor. Madrid’i komple yıktı. Ligue1’de Lens maçı garanti puan kaybını da yazalım şimdiden.",4 stars,0.3135903775691986
ya hasiltir ordan koskoca mourinho siz dediniz diye mi kovulacak,1 star,0.4000356197357178
